year,ID_01,province ENG,method,planting area(rai),harvesting area (rai),production (ton),yield (Kg/rai) plant,yield (Kg/rai) harvest,amount Seeds (tons),seed utilization rate per rai (Kg/rai)
2015,53,Rayong,Transplant,4546,4526,2065,454,456,39,8.58
2015,53,Rayong,WetBroadcast,12088,11919,5354,443,449,279,23.08
2015,53,Rayong,DryBroadcast,925,918,310,335,338,16,17.3
2015,54,Roi Et,Transplant,1347763,1273866,471765,350,370,9030,6.7
2015,54,Roi Et,WetBroadcast,122343,118803,41153,336,346,2749,22.47
2015,54,Roi Et,DryBroadcast,1565676,1448713,567792,363,392,39267,25.08
2015,55,Sa Kaeo,Transplant,350885,276111,88843,253,322,4197,11.96
2015,55,Sa Kaeo,WetBroadcast,34637,28644,8419,243,294,689,19.89
2015,55,Sa Kaeo,DryBroadcast,350643,223837,73867,211,330,7251,20.68
2015,56,Sakon Nakhon,Transplant,1870222,1775094,569083,304,321,12156,6.5
2015,56,Sakon Nakhon,WetBroadcast,36308,34615,11235,309,325,447,12.31
2015,56,Sakon Nakhon,DryBroadcast,95670,86522,24671,258,285,1081,11.3
2015,57,Samut Prakan,WetBroadcast,21490,21269,15846,737,745,653,30.39
2015,58,Samut Sakhon,WetBroadcast,7993,7958,5610,702,705,224,28.02
2015,59,Samut Songkhram,WetBroadcast,3562,3562,2511,705,705,91,25.55
2015,60,Saraburi,Transplant,3624,3484,2151,594,617,44,12.14
2015,60,Saraburi,WetBroadcast,269363,266154,172173,639,647,6748,25.05
2015,60,Saraburi,DryBroadcast,29855,29051,13685,458,471,777,26.03
2015,61,Satun,Transplant,22283,22037,8743,392,397,196,8.8
2015,61,Satun,WetBroadcast,1477,1416,607,411,429,27,18.28
2015,61,Satun,DryBroadcast,1252,1162,404,323,348,2,1.6
2015,62,Si Sa Ket,Transplant,1086428,1071877,416232,383,388,8528,7.85
2015,62,Si Sa Ket,WetBroadcast,4642,4459,1679,362,377,78,16.8
2015,62,Si Sa Ket,DryBroadcast,1865103,1809745,625236,335,345,33217,17.81
2015,63,Sing Buri,Transplant,1153,1110,783,679,705,20,17.35
2015,63,Sing Buri,WetBroadcast,265319,264963,179213,675,676,6739,25.4
2015,64,Songkhla,Transplant,38433,38149,17627,459,462,357,9.29
2015,64,Songkhla,WetBroadcast,91820,91376,57319,624,627,2238,24.37
2015,64,Songkhla,DryBroadcast,70435,69687,31855,452,457,1470,20.87
2015,65,Sukhothai,Transplant,130486,106226,58012,445,546,1531,11.73
2015,65,Sukhothai,WetBroadcast,663670,547173,304191,458,556,20653,31.12
2015,65,Sukhothai,DryBroadcast,144282,120748,52224,362,433,4131,28.63
2015,66,Suphan Buri,Transplant,104052,100732,74850,719,743,1717,16.5
2015,66,Suphan Buri,WetBroadcast,1136854,1100590,811786,714,738,33424,29.4
2015,66,Suphan Buri,DryBroadcast,68032,62773,38144,561,608,1919,28.21
2015,67,Surat Thani,Transplant,486,482,208,428,432,4,8.23
2015,67,Surat Thani,WetBroadcast,3869,3867,1770,457,458,83,21.45
2015,67,Surat Thani,DryBroadcast,793,787,293,369,372,13,16.39
2015,67,Surat Thani,PlacingMachine,147,145,48,327,331,1,6.8
2015,68,Surin,Transplant,114455,113111,44336,387,392,1003,8.76
2015,68,Surin,WetBroadcast,78540,77112,29309,373,380,2066,26.31
2015,68,Surin,DryBroadcast,2889736,2776100,1072061,371,386,65741,22.75
2015,69,Tak,Transplant,134947,134344,58580,434,436,1175,8.71
2015,69,Tak,WetBroadcast,30738,29099,13646,444,469,721,23.46
2015,69,Tak,DryBroadcast,33235,31880,10821,326,339,599,18.02
2015,69,Tak,PlacingMachine,14542,14123,4304,296,305,165,11.35
2015,70,Trang,Transplant,10246,10186,4004,391,393,70,6.83
2015,70,Trang,WetBroadcast,1698,1688,623,367,369,31,18.26
2015,70,Trang,DryBroadcast,220,219,78,355,356,3,13.64
2015,70,Trang,PlacingMachine,128,126,43,336,341,1,7.81
2015,71,Trat,Transplant,5064,5047,2048,404,406,34,6.71
2015,71,Trat,WetBroadcast,8663,8634,3524,407,408,143,16.51
2015,71,Trat,DryBroadcast,2543,2453,939,369,383,40,15.73
2015,72,Ubon Ratchathani,Transplant,2010664,2006615,692143,344,345,12225,6.08
2015,72,Ubon Ratchathani,WetBroadcast,32257,27815,11286,350,406,378,11.72
2015,72,Ubon Ratchathani,DryBroadcast,1753745,1716654,534423,305,311,20992,11.97
2015,72,Ubon Ratchathani,PlacingMachine,4053,3971,1258,310,317,30,7.4
2015,73,Udon Thani,Transplant,1328645,1307863,479129,361,366,9792,7.37
2015,73,Udon Thani,WetBroadcast,91586,90503,31455,343,348,1101,12.02
2015,73,Udon Thani,DryBroadcast,261850,241211,103420,395,429,3312,12.65
2015,74,Uthai Thani,Transplant,36435,34800,23538,646,676,436,11.97
2015,74,Uthai Thani,WetBroadcast,358526,357928,226291,631,632,10290,28.7
2015,74,Uthai Thani,DryBroadcast,53438,51286,23147,433,451,1625,30.41
2015,75,Uttaradit,Transplant,77702,66611,36023,464,541,953,12.26
2015,75,Uttaradit,WetBroadcast,410193,332563,194881,475,586,10074,24.56
2015,75,Uttaradit,DryBroadcast,40425,31750,13165,326,415,1108,27.41
2015,76,Yala,Transplant,26369,26115,9324,354,357,136,5.16
2015,77,Yasothon,Transplant,745311,727643,255089,342,351,4994,6.7
2015,77,Yasothon,WetBroadcast,28647,28239,9652,337,342,357,12.46
2015,77,Yasothon,DryBroadcast,524995,484882,174068,332,359,9193,17.51
2016,1,Amnat Charoen,Transplant,410780,402928,142034,346,353,2777,6.76
2016,1,Amnat Charoen,DryBroadcast,524932,507809,170861,325,336,8388,15.98
2016,1,Amnat Charoen,PlacingMachine,3164,3121,963,304,309,23,7.27
2016,2,Ang Thong,Transplant,4856,4810,3183,655,662,74,15.24
2016,2,Ang Thong,WetBroadcast,298971,296722,195958,655,660,8210,27.46
2016,2,Ang Thong,DryBroadcast,12583,11956,7223,574,604,346,27.5
2016,46,Ayutthaya,Transplant,2438,2412,1651,677,684,36,14.77
2016,46,Ayutthaya,WetBroadcast,702960,694771,448498,638,646,18333,26.08
2016,46,Ayutthaya,DryBroadcast,10892,10775,5682,522,527,344,31.58
2016,3,Bangkok Metropolis,Transplant,2237,2218,1534,686,692,25,11.18
2016,3,Bangkok Metropolis,WetBroadcast,86649,85851,56697,654,660,2293,26.46
2016,4,Bueng Kan,Transplant,282155,278629,91217,323,327,2167,7.68
2016,4,Bueng Kan,WetBroadcast,92852,91611,29267,315,319,988,10.64
2016,4,Bueng Kan,DryBroadcast,90584,89583,23794,263,266,811,8.95
2016,4,Bueng Kan,PlacingMachine,23533,23188,7156,304,309,182,7.73
2016,5,Buri Ram,Transplant,685924,675155,268255,391,397,6187,9.02
2016,5,Buri Ram,WetBroadcast,108887,107645,41573,382,386,2476,22.74
2016,5,Buri Ram,DryBroadcast,1930550,1861391,703820,365,378,57994,30.04
2016,5,Buri Ram,PlacingMachine,7697,7604,2959,384,389,90,11.69
2016,6,Chachoengsao,Transplant,9202,9136,6076,660,665,91,9.89
2016,6,Chachoengsao,WetBroadcast,537116,530316,348740,649,658,14636,27.25
2016,6,Chachoengsao,DryBroadcast,72635,71063,34771,479,489,1543,21.24
2016,7,Chai Nat,Transplant,26882,26545,17675,658,666,385,14.32
2016,7,Chai Nat,WetBroadcast,653964,639004,426813,653,668,16493,25.22
2016,7,Chai Nat,DryBroadcast,67452,66067,39818,590,603,1912,28.35
2016,8,Chaiyaphum,Transplant,526386,500701,194379,369,388,4616,8.77
2016,8,Chaiyaphum,WetBroadcast,18395,17372,6686,363,385,354,19.24
2016,8,Chaiyaphum,DryBroadcast,1005946,927281,319227,317,344,17916,17.81
2016,8,Chaiyaphum,PlacingMachine,7110,6715,2469,347,368,72,10.13
2016,9,Chanthaburi,Transplant,6309,6247,2355,373,377,66,10.46
2016,9,Chanthaburi,WetBroadcast,7586,7444,2666,351,358,149,19.64
2016,9,Chanthaburi,DryBroadcast,2950,2866,955,324,333,57,19.32
2016,10,Chiang Mai,Transplant,306819,303441,193616,631,638,3556,11.59
2016,10,Chiang Mai,WetBroadcast,94707,93748,59764,631,637,1254,13.24
2016,10,Chiang Mai,DryBroadcast,10596,10492,6854,647,653,133,12.55
2016,10,Chiang Mai,PlacingMachine,27883,27567,9591,344,348,307,11.01
2016,11,Chiang Rai,Transplant,730231,711990,437021,598,614,6879,9.42
2016,11,Chiang Rai,WetBroadcast,279585,273021,151177,541,554,4113,14.71
2016,11,Chiang Rai,DryBroadcast,145109,139902,64751,446,463,2008,13.84
2016,11,Chiang Rai,PlacingMachine,46610,45715,15626,335,342,410,8.8
2016,12,Chon Buri,Transplant,5767,5764,2906,504,504,52,9.02
2016,12,Chon Buri,WetBroadcast,47369,46457,24282,513,523,1105,23.33
2016,12,Chon Buri,DryBroadcast,18634,18231,7304,392,401,375,20.12
2016,13,Chumphon,Transplant,1139,1138,462,406,406,10,8.78
2016,13,Chumphon,WetBroadcast,2823,2819,1164,412,413,54,19.13
2016,14,Kalasin,Transplant,548722,545741,200322,365,367,4187,7.63
2016,14,Kalasin,WetBroadcast,167879,166138,64464,384,388,4088,24.35
2016,14,Kalasin,DryBroadcast,629094,616288,229663,365,373,10349,16.45
2016,14,Kalasin,PlacingMachine,98338,98125,35133,357,358,890,9.05
2016,15,Kamphaeng Phet,Transplant,23596,23135,12654,536,547,273,11.57
2016,15,Kamphaeng Phet,WetBroadcast,1113153,1108386,671883,604,606,30968,27.82
2016,15,Kamphaeng Phet,DryBroadcast,44271,43625,21377,483,490,1214,27.42
2016,16,Kanchanaburi,Transplant,3806,3754,2571,676,685,59,15.5
2016,16,Kanchanaburi,Transplant,2320,2300,1580,681,687,28,12.07
2016,16,Kanchanaburi,WetBroadcast,230181,227622,156400,679,687,5662,24.6
2016,16,Kanchanaburi,WetBroadcast,225744,223543,155626,689,696,5813,25.75
2016,16,Kanchanaburi,DryBroadcast,137742,136244,67149,487,493,3247,23.57
2016,16,Kanchanaburi,DryBroadcast,27161,26596,12919,476,486,664,24.45
2016,16,Kanchanaburi,PlacingMachine,6347,6328,2886,455,456,48,7.56
2016,17,Khon Kaen,Transplant,534106,517061,196806,368,381,3819,7.15
2016,17,Khon Kaen,WetBroadcast,74561,73372,27903,374,380,1452,19.47
2016,17,Khon Kaen,DryBroadcast,1604390,1545390,508047,317,329,30564,19.05
2016,17,Khon Kaen,PlacingMachine,127050,124852,44182,348,354,1271,10
2016,18,Krabi,Transplant,3824,3781,1257,329,332,19,4.97
2016,18,Krabi,PlacingMachine,1550,1532,472,305,308,8,5.16
2016,19,Lampang,Transplant,349434,346571,182171,521,526,4162,11.91
2016,19,Lampang,WetBroadcast,34632,34595,17885,516,517,480,13.86
2016,19,Lampang,DryBroadcast,31488,30964,15428,490,498,487,15.47
2016,20,Lamphun,Transplant,76251,75208,50188,658,667,848,11.12
2016,20,Lamphun,WetBroadcast,18634,18322,12089,649,660,270,14.49
2016,20,Lamphun,DryBroadcast,16267,16056,6140,377,382,227,13.95
2016,20,Lamphun,PlacingMachine,5810,5719,2538,437,444,53,9.12
2016,21,Loei,Transplant,273546,271350,107929,395,398,2689,9.83
2016,21,Loei,WetBroadcast,25637,25327,9799,382,387,504,19.66
2016,21,Loei,DryBroadcast,57322,56715,20496,358,361,825,14.39
2016,21,Loei,PlacingMachine,15378,15128,5323,346,352,174,11.31
2016,22,Lop Buri,Transplant,15549,15315,9112,586,595,213,13.7
2016,22,Lop Buri,WetBroadcast,471138,461489,271389,576,588,12556,26.65
2016,22,Lop Buri,DryBroadcast,217901,214450,101505,466,473,5879,26.98
2016,23,Mae Hong Son,Transplant,85362,84428,44013,516,521,946,11.08
2016,23,Mae Hong Son,PlacingMachine,75279,74532,22499,299,302,874,11.61
2016,24,Maha Sarakham,Transplant,350603,334993,123089,351,367,3012,8.59
2016,24,Maha Sarakham,WetBroadcast,177254,165690,60787,343,367,4766,26.89
2016,24,Maha Sarakham,DryBroadcast,1528862,1450318,533193,349,368,34843,22.79
2016,24,Maha Sarakham,PlacingMachine,13936,13713,4828,346,352,129,9.26
2016,25,Mukdahan,Transplant,388565,377965,145033,373,384,2903,7.47
2016,25,Mukdahan,WetBroadcast,8632,8458,3352,388,396,84,9.73
2016,25,Mukdahan,DryBroadcast,60161,58914,22315,371,379,599,9.96
2016,25,Mukdahan,PlacingMachine,32535,31764,12751,392,401,192,5.9
2016,26,Nakhon Nayok,Transplant,29562,29509,17751,600,602,427,14.44
2016,26,Nakhon Nayok,DryBroadcast,102836,101822,48222,469,474,3094,30.09
2016,27,Nakhon Pathom,WetBroadcast,321852,320525,232976,724,727,8619,26.78
2016,28,Nakhon Phanom,Transplant,690353,681156,259638,376,381,4839,7.01
2016,28,Nakhon Phanom,WetBroadcast,33870,33216,12611,372,380,416,12.28
2016,28,Nakhon Phanom,DryBroadcast,589352,577036,203861,346,353,7237,12.28
2016,28,Nakhon Phanom,PlacingMachine,20937,20488,7585,362,370,145,6.93
2016,29,Nakhon Ratchasima,Transplant,530243,517920,190494,359,368,5583,10.53
2016,29,Nakhon Ratchasima,DryBroadcast,2772485,2573256,902660,326,351,62298,22.47
2016,29,Nakhon Ratchasima,PlacingMachine,31973,31230,11522,360,369,302,9.45
2016,30,Nakhon Sawan,Transplant,38574,33395,21577,559,646,483,12.52
2016,30,Nakhon Sawan,WetBroadcast,1104492,948771,566311,513,597,30782,27.87
2016,30,Nakhon Sawan,DryBroadcast,1101113,961379,516674,469,537,29653,26.93
2016,31,Nakhon Si Thammarat,Transplant,7958,7483,3220,405,430,50,6.28
2016,31,Nakhon Si Thammarat,DryBroadcast,45658,38144,16405,359,430,817,17.89
2016,31,Nakhon Si Thammarat,PlacingMachine,1442,1383,475,329,343,9,6.24
2016,32,Nan,Transplant,160997,160943,86729,539,539,2190,13.6
2016,32,Nan,WetBroadcast,36710,36691,19281,525,525,430,11.71
2016,32,Nan,DryBroadcast,4267,4262,1743,408,409,64,15
2016,32,Nan,PlacingMachine,19627,19588,6619,337,338,227,11.57
2016,33,Narathiwat,Transplant,47937,46575,17428,364,374,289,6.03
2016,34,Nong Bua Lam Phu,Transplant,371728,349163,121708,327,349,2881,7.75
2016,34,Nong Bua Lam Phu,WetBroadcast,40236,37698,12455,310,330,569,14.14
2016,34,Nong Bua Lam Phu,DryBroadcast,247651,220717,70764,286,321,2618,10.57
2016,34,Nong Bua Lam Phu,PlacingMachine,38673,35890,12294,318,343,318,8.22
2016,35,Nong Khai,Transplant,224657,222481,88366,393,397,2139,9.52
2016,35,Nong Khai,WetBroadcast,36279,35936,14032,387,390,459,12.65
2016,35,Nong Khai,PlacingMachine,10458,10359,3592,343,347,77,7.36
2016,36,Nonthaburi,WetBroadcast,87806,87073,59791,681,687,2348,26.74
2016,37,Pathum Thani,Transplant,2850,2834,2021,709,713,52,18.25
2016,37,Pathum Thani,WetBroadcast,308523,306445,216033,700,705,8901,28.85
2016,38,Pattani,Transplant,96838,94229,36760,380,390,956,9.87
2016,38,Pattani,DryBroadcast,2399,2364,840,350,355,31,12.92
2016,39,Phangnga,Transplant,1609,1596,507,315,318,20,12.43
2016,39,Phangnga,PlacingMachine,368,365,109,296,299,3,8.15
2016,40,Phatthalung,Transplant,8418,8010,3457,411,432,70,8.32
2016,40,Phatthalung,WetBroadcast,86246,78314,34948,405,446,1898,22.01
2016,40,Phatthalung,DryBroadcast,34320,30588,13158,383,430,553,16.11
2016,41,Phayao,Transplant,399123,379020,192002,481,507,4107,10.29
2016,41,Phayao,WetBroadcast,106548,101181,41434,389,410,1688,15.84
2016,41,Phayao,DryBroadcast,102877,96481,36549,355,379,1736,16.87
2016,41,Phayao,PlacingMachine,14092,13382,5861,416,438,137,9.72
2016,42,Phetchabun,Transplant,270618,266256,164809,609,619,3532,13.05
2016,42,Phetchabun,WetBroadcast,329597,326856,196815,597,602,9713,29.47
2016,42,Phetchabun,DryBroadcast,456336,450878,216696,475,481,12987,28.46
2016,42,Phetchabun,PlacingMachine,10237,10123,4618,451,456,111,10.84
2016,43,Phetchaburi,Transplant,3256,3235,2258,693,698,35,10.75
2016,43,Phetchaburi,WetBroadcast,272678,267844,187350,687,699,7319,26.84
2016,43,Phetchaburi,DryBroadcast,13874,13782,8125,586,590,326,23.5
2016,44,Phichit,Transplant,19875,19524,12713,640,651,267,13.43
2016,44,Phichit,WetBroadcast,1006753,982883,611922,608,623,29176,28.98
2016,44,Phichit,DryBroadcast,533451,525839,295150,553,561,12408,23.26
2016,45,Phitsanulok,Transplant,88861,85908,51834,583,603,1151,12.95
2016,45,Phitsanulok,WetBroadcast,1177136,1132439,676471,575,597,32595,27.69
2016,45,Phitsanulok,DryBroadcast,35637,33528,17900,502,534,854,23.96
2016,45,Phitsanulok,PlacingMachine,2549,2464,1239,486,503,23,9.02
2016,47,Phrae,Transplant,110503,109812,65493,593,596,1336,12.09
2016,47,Phrae,WetBroadcast,112432,112010,61987,551,553,1826,16.24
2016,47,Phrae,DryBroadcast,57132,56954,28123,492,494,842,14.74
2016,47,Phrae,PlacingMachine,3564,3547,1684,473,475,28,7.86
2016,48,Phuket,Transplant,72,72,35,486,486,1,13.89
2016,49,Prachin Buri,Transplant,15823,15732,8132,514,517,160,10.11
2016,49,Prachin Buri,WetBroadcast,92296,91283,47755,517,523,2758,29.88
2016,49,Prachin Buri,DryBroadcast,289904,280238,110470,381,394,7097,24.48
2016,50,Prachuap Khiri Khan,Transplant,276,271,133,482,491,3,10.87
2016,50,Prachuap Khiri Khan,WetBroadcast,8301,7907,4059,489,513,215,25.9
2016,51,Ranong,Transplant,434,429,146,336,340,2,4.61
2016,51,Ranong,PlacingMachine,230,227,70,304,308,1,4.35
2016,53,Rayong,Transplant,1203,1197,559,465,467,9,7.48
2016,53,Rayong,WetBroadcast,12337,12207,5813,471,476,268,21.72
2016,53,Rayong,DryBroadcast,2126,2101,766,360,365,38,17.87
2016,54,Roi Et,Transplant,1023624,981391,365092,357,372,6971,6.81
2016,54,Roi Et,WetBroadcast,50263,48038,17227,343,359,1127,22.42
2016,54,Roi Et,DryBroadcast,1953543,1857348,721869,370,389,49542,25.36
2016,54,Roi Et,PlacingMachine,33258,32658,11755,353,360,332,9.98
2016,55,Sa Kaeo,Transplant,97371,88413,30292,311,343,1105,11.35
2016,55,Sa Kaeo,WetBroadcast,45465,40497,13955,307,345,935,20.57
2016,55,Sa Kaeo,DryBroadcast,578062,483780,149621,259,309,14012,24.24
2016,56,Sakon Nakhon,Transplant,1223138,1207189,455742,373,378,8807,7.2
2016,56,Sakon Nakhon,WetBroadcast,37694,37128,14188,376,382,516,13.69
2016,56,Sakon Nakhon,DryBroadcast,782692,761010,247145,316,325,9510,12.15
2016,56,Sakon Nakhon,PlacingMachine,49411,48934,18098,366,370,308,6.23
2016,57,Samut Prakan,WetBroadcast,18768,18659,14288,761,766,539,28.72
2016,58,Samut Sakhon,WetBroadcast,6048,5978,4208,696,704,166,27.45
2016,59,Samut Songkhram,WetBroadcast,2639,2634,1852,702,703,66,25.01
2016,60,Saraburi,Transplant,5495,5398,3320,604,615,74,13.47
2016,60,Saraburi,WetBroadcast,270781,267586,174728,645,653,6875,25.39
2016,60,Saraburi,DryBroadcast,51320,50769,30081,586,593,1285,25.04
2016,61,Satun,Transplant,18140,18140,7601,419,419,131,7.22
2016,61,Satun,WetBroadcast,1872,1872,821,439,439,28,14.96
2016,61,Satun,DryBroadcast,1551,1551,535,345,345,21,13.54
2016,62,Si Sa Ket,Transplant,520326,505919,205779,395,407,4922,9.46
2016,62,Si Sa Ket,DryBroadcast,2433523,2377816,842112,346,354,42781,17.58
2016,62,Si Sa Ket,PlacingMachine,18680,18434,6875,368,373,166,8.89
2016,63,Sing Buri,Transplant,6875,6754,4651,677,689,117,17.02
2016,63,Sing Buri,WetBroadcast,280777,273128,187060,666,685,6817,24.28
2016,64,Songkhla,Transplant,14654,13219,5650,386,427,143,9.76
2016,64,Songkhla,WetBroadcast,90325,73197,44899,497,613,2509,27.78
2016,64,Songkhla,DryBroadcast,85263,69118,32349,379,468,1849,21.69
2016,65,Sukhothai,Transplant,103562,102849,57244,553,557,1238,11.95
2016,65,Sukhothai,WetBroadcast,761698,754861,434068,570,575,22820,29.96
2016,65,Sukhothai,DryBroadcast,95624,94739,43034,450,454,2688,28.11
2016,66,Suphan Buri,Transplant,50253,50171,37012,737,738,762,15.16
2016,66,Suphan Buri,WetBroadcast,1091855,1087312,798250,731,734,29535,27.05
2016,66,Suphan Buri,DryBroadcast,60824,60421,36233,596,600,1727,28.39
2016,67,Surat Thani,Transplant,536,500,206,384,412,4,7.46
2016,67,Surat Thani,WetBroadcast,4996,4705,1933,387,411,104,20.82
2016,67,Surat Thani,DryBroadcast,122,117,39,320,333,2,16.39
2016,67,Surat Thani,PlacingMachine,181,174,51,282,293,1,5.52
2016,68,Surin,Transplant,78430,76139,30278,386,398,716,9.13
2016,68,Surin,WetBroadcast,236276,233850,87874,372,376,6250,26.45
2016,68,Surin,DryBroadcast,2619050,2521220,968364,370,384,63276,24.16
2016,68,Surin,PlacingMachine,137098,142674,51436,375,361,1365,9.96
2016,69,Tak,Transplant,105112,103504,46657,444,451,925,8.8
2016,69,Tak,WetBroadcast,56384,55610,25597,454,460,917,16.26
2016,69,Tak,DryBroadcast,34244,33774,11401,333,338,714,20.85
2016,69,Tak,PlacingMachine,24200,23499,7324,303,312,270,11.16
2016,70,Trang,Transplant,8690,8666,3653,420,422,53,6.1
2016,70,Trang,WetBroadcast,3027,3016,1224,404,406,57,18.83
2016,70,Trang,DryBroadcast,215,215,69,321,321,3,13.95
2016,70,Trang,PlacingMachine,131,131,40,305,305,1,7.63
2016,71,Trat,Transplant,2325,2266,940,404,415,19,8.17
2016,71,Trat,WetBroadcast,12586,12226,5031,400,412,210,16.69
2016,71,Trat,DryBroadcast,1263,1243,464,367,373,20,15.84
2016,72,Ubon Ratchathani,Transplant,1023258,1005669,365128,357,363,6273,6.13
2016,72,Ubon Ratchathani,WetBroadcast,36100,35475,13093,363,369,460,12.74
2016,72,Ubon Ratchathani,DryBroadcast,2782269,2718461,878868,316,323,33471,12.03
2016,72,Ubon Ratchathani,PlacingMachine,20849,20379,6976,335,342,150,7.19
2016,73,Udon Thani,Transplant,1140924,1105417,422132,370,382,8705,7.63
2016,73,Udon Thani,WetBroadcast,60976,59391,21487,352,362,800,13.12
2016,73,Udon Thani,DryBroadcast,475632,460678,172070,362,374,5246,11.03
2016,73,Udon Thani,PlacingMachine,62606,61507,23532,376,383,556,8.88
2016,74,Uthai Thani,Transplant,32639,31454,21003,643,668,397,12.16
2016,74,Uthai Thani,WetBroadcast,384632,366183,241821,629,660,10816,28.12
2016,74,Uthai Thani,DryBroadcast,58647,56518,25304,431,448,1861,31.73
2016,75,Uttaradit,Transplant,76386,75458,45285,593,600,909,11.9
2016,75,Uttaradit,DryBroadcast,41276,40774,17189,416,422,1082,26.21
2016,76,Yala,Transplant,18638,18342,6082,326,332,130,6.97
2016,77,Yasothon,Transplant,406010,389694,141365,348,363,2716,6.69
2016,77,Yasothon,WetBroadcast,21473,20911,7360,343,352,287,13.37
2016,77,Yasothon,DryBroadcast,863862,821322,291383,337,355,14953,17.31
2016,77,Yasothon,PlacingMachine,6208,6087,2040,329,335,49,7.89